State,State-Code,District,female_school_attendance,female_literacy,women_10yr_schooling,child_marriage,hh_electricity,improved_water,improved_sanitation,clean_fuel,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance,csection_rate,child_stunting,child_underweight,women_anaemic
Himachal Pradesh,HP,Shimla,81.6,93.4,69.7,6.1,100.0,97.3,87.3,78.0,37.1,83.1,85.3,77.2,91.6,6658.0,92.2,81.9,91.3,12.9,27.1,14.9,46.5
Himachal Pradesh,HP,Sirmaur,75.7,84.9,55.6,5.0,99.2,95.7,84.3,46.8,26.2,91.0,85.2,76.0,88.7,2586.0,87.4,70.1,88.2,16.7,28.6,24.2,50.1
Himachal Pradesh,HP,Solan,82.4,91.0,62.3,13.3,99.2,96.5,81.8,62.5,41.9,87.1,88.2,74.6,85.9,5401.0,90.2,68.0,86.8,25.2,32.3,26.7,47.5
Himachal Pradesh,HP,Una,86.1,92.5,66.8,1.6,98.5,98.8,81.4,46.2,22.6,70.7,71.7,46.5,84.9,4903.0,89.7,52.2,89.9,39.1,24.7,25.8,60.8
Jammu and Kashmir,JK,Anantnag,65.5,74.7,52.8,2.5,98.7,99.3,84.7,76.5,7.3,82.0,80.9,32.5,85.1,6058.0,90.5,86.7,98.1,51.3,28.2,28.3,74.3
Jammu and Kashmir,JK,Badgam,62.5,74.1,48.2,1.5,99.5,95.8,77.0,71.1,5.2,83.3,66.5,25.4,88.7,5525.0,96.5,94.3,98.5,42.2,26.8,20.6,73.9
Jammu and Kashmir,JK,Bandipore,62.4,66.6,35.9,1.8,99.0,89.8,66.8,77.9,9.1,82.9,82.6,21.9,82.6,6399.0,92.8,82.2,93.7,48.1,25.2,16.8,73.7
Jammu and Kashmir,JK,Baramula,62.9,67.9,35.9,3.8,98.7,93.3,77.7,76.5,6.5,84.0,75.2,22.4,80.1,9853.0,96.2,86.8,97.0,51.1,23.2,17.3,72.5
Jammu and Kashmir,JK,Doda,65.1,69.2,46.8,11.0,99.6,92.6,70.9,42.4,7.6,86.3,74.3,23.1,71.6,4458.0,73.5,68.9,75.6,19.5,32.7,15.2,66.5
Jammu and Kashmir,JK,Ganderbal,60.2,64.0,34.3,5.3,99.5,97.2,78.4,84.4,8.3,86.9,80.4,16.3,88.4,6961.0,98.0,95.0,98.6,47.2,18.5,20.1,77.2
Jammu and Kashmir,JK,Jammu,84.0,91.5,70.8,5.3,100.0,99.9,81.2,87.9,23.3,93.2,95.4,51.4,92.2,4714.0,96.5,88.7,97.0,43.3,27.0,17.6,66.6
Jammu and Kashmir,JK,Kathua,77.4,87.7,64.9,1.4,99.7,96.1,75.4,68.5,7.0,83.2,31.6,32.6,81.2,5661.0,97.1,93.8,98.5,29.9,21.8,25.9,53.6
Jammu and Kashmir,JK,Kishtwar,68.9,71.3,48.0,7.2,88.8,86.8,59.6,50.6,16.4,80.3,76.4,34.8,75.7,4410.0,91.6,90.8,94.1,34.3,27.5,17.7,84.8
Jammu and Kashmir,JK,Kulgam,64.0,70.9,42.4,3.7,99.8,96.4,80.5,40.3,4.2,95.5,92.2,15.8,91.5,3852.0,98.9,94.4,99.6,45.8,28.4,15.3,77.0
Jammu and Kashmir,JK,Kupwara,68.7,76.0,44.9,3.1,99.3,88.0,67.7,62.0,10.4,83.7,89.2,29.2,90.5,5108.0,97.1,88.7,99.0,51.7,24.9,25.5,73.5
Jammu and Kashmir,JK,Pulwama,67.2,76.6,49.4,0.5,99.1,98.0,91.6,76.6,9.9,96.6,96.2,33.1,95.0,4299.0,97.8,92.0,98.1,60.7,22.4,20.2,73.2
Jammu and Kashmir,JK,Punch,72.1,79.3,46.8,5.4,99.7,76.8,66.7,44.6,11.1,80.5,86.4,20.6,81.7,3641.0,86.0,84.2,93.8,30.9,25.9,18.8,54.1
Jammu and Kashmir,JK,Rajouri,72.6,79.4,46.4,12.2,100.0,77.7,63.3,42.8,16.4,82.5,71.9,17.4,78.7,4199.0,88.8,84.9,94.4,29.0,30.3,32.4,60.6
Jammu and Kashmir,JK,Ramban,60.8,62.2,35.5,5.5,97.4,73.4,48.9,35.8,9.2,84.6,79.2,12.9,71.3,2683.0,80.4,78.7,91.7,17.0,25.7,21.2,59.7
Jammu and Kashmir,JK,Reasi,66.9,68.2,41.9,9.6,99.9,76.5,62.7,35.2,11.2,83.4,75.9,32.6,64.7,4046.0,69.3,66.6,73.3,23.0,17.7,11.7,62.9
Jammu and Kashmir,JK,Samba,76.6,84.8,60.6,6.3,99.8,95.4,78.8,73.0,19.0,86.6,96.2,46.5,92.3,4149.0,97.9,91.3,99.0,37.5,24.5,15.5,62.4
Jammu and Kashmir,JK,Shupiyan,71.4,80.8,55.2,2.1,99.9,99.2,86.5,66.1,8.4,80.8,86.8,34.4,84.5,5792.0,98.3,94.3,97.5,31.7,22.0,33.5,63.9
Jammu and Kashmir,JK,Srinagar,68.2,78.4,60.5,1.7,100.0,98.5,86.8,98.4,17.9,95.2,85.1,34.1,90.9,4589.0,99.2,88.7,99.2,59.4,33.0,15.8,51.7
Jammu and Kashmir,JK,Udhampur,73.0,77.3,43.7,6.1,99.9,76.4,69.8,55.1,16.8,80.1,69.8,19.4,71.2,3412.0,87.2,86.0,91.1,37.0,37.3,31.9,56.5
Karnataka,KA,Bagalkot,67.3,69.7,37.7,38.7,98.9,99.2,51.3,56.6,22.3,78.2,76.2,32.3,89.0,4576.0,95.2,57.1,91.4,31.0,48.3,42.3,48.0
Karnataka,KA,Bangalore,85.7,87.3,70.1,14.5,98.8,99.2,90.4,97.2,28.8,75.3,74.6,58.8,88.0,3633.0,99.3,54.7,94.4,30.6,31.3,28.1,35.5
Karnataka,KA,Bangalore Rural,74.3,83.8,56.3,14.1,99.2,97.9,88.8,93.6,34.9,81.8,90.9,67.0,91.7,4836.0,100.0,72.0,97.9,43.6,36.6,23.8,44.2
Karnataka,KA,Belgaum,72.4,74.0,47.8,32.8,99.1,94.4,67.7,74.8,20.7,71.2,63.7,36.9,87.0,3902.0,97.5,60.6,96.4,24.2,32.8,36.9,52.9
Karnataka,KA,Bellary,64.2,64.4,39.9,22.2,98.9,94.7,64.1,76.2,25.7,67.5,56.4,28.7,86.6,12348.0,95.7,76.8,96.0,29.1,36.1,36.5,58.1
Karnataka,KA,Bidar,68.2,73.8,45.0,19.2,98.8,98.9,56.5,65.2,21.4,62.7,55.3,39.7,89.6,4091.0,99.0,73.4,91.7,21.8,36.8,36.1,55.9
Karnataka,KA,Bijapur,66.1,66.6,37.1,39.2,97.6,92.5,44.8,60.6,21.2,60.3,56.4,36.6,74.4,3198.0,91.8,59.6,90.0,20.9,45.9,39.0,52.9
Karnataka,KA,Chamarajanagar,63.2,72.4,41.7,19.3,98.7,99.9,75.2,89.0,34.4,83.2,84.1,41.2,94.2,4270.0,100.0,82.7,96.7,31.4,32.2,28.7,46.3
Karnataka,KA,Chikkaballapura,65.9,76.3,48.0,27.1,99.9,98.1,84.9,89.4,26.1,82.6,90.5,48.8,91.2,4324.0,99.0,83.0,97.5,38.2,31.3,25.2,45.5
Karnataka,KA,Chikmagalur,76.2,82.9,48.3,19.5,99.3,95.7,92.3,79.0,30.0,69.5,74.3,49.6,90.9,4544.0,98.4,77.9,98.7,38.1,27.3,25.4,40.8
Karnataka,KA,Chitradurga,73.0,75.6,48.3,20.7,99.8,97.8,63.1,80.6,35.3,66.3,79.3,50.5,95.2,4234.0,98.3,68.8,95.1,42.8,36.0,32.4,44.6
Karnataka,KA,Dakshina Kannada,83.9,92.7,62.8,4.9,99.8,88.6,97.1,82.0,36.3,86.1,82.0,68.9,83.5,3699.0,100.0,41.9,91.9,30.4,25.1,26.4,38.8
Karnataka,KA,Davanagere,74.9,76.0,47.1,19.1,98.8,97.5,83.3,79.1,25.2,63.0,63.1,25.0,78.9,7508.0,98.3,68.9,88.1,39.8,38.4,32.8,51.7
Karnataka,KA,Dharwad,78.2,81.8,51.4,17.8,99.4,87.9,79.3,79.1,24.5,78.7,85.2,45.1,98.0,3225.0,99.7,69.2,99.0,29.9,45.2,40.4,52.1
Karnataka,KA,Gadag,73.3,70.7,45.1,27.7,98.6,95.5,55.2,56.3,28.3,52.6,68.7,33.5,84.7,5726.0,96.2,67.5,98.2,33.5,45.2,39.8,50.5
Karnataka,KA,Gulbarga,65.0,68.2,42.0,29.8,99.4,92.5,36.5,58.5,17.4,59.3,53.6,26.6,79.6,3738.0,88.7,60.5,87.1,22.7,34.5,36.2,56.0
Karnataka,KA,Hassan,74.4,82.0,51.3,16.2,99.3,96.8,87.9,86.1,36.9,67.6,75.8,50.1,92.6,3421.0,100.0,71.7,97.1,41.8,27.1,23.8,42.2
Karnataka,KA,Haveri,72.6,71.5,40.0,16.5,99.1,99.1,68.9,60.7,28.8,73.3,58.7,30.5,92.4,11573.0,97.2,82.6,95.8,23.9,29.9,35.0,50.8
Karnataka,KA,Kodagu,83.6,88.5,58.9,12.8,98.7,89.2,93.9,78.3,45.6,70.6,74.4,46.8,93.3,2830.0,98.4,73.3,94.1,33.3,30.4,22.6,39.9
Karnataka,KA,Kolar,71.6,78.3,55.0,26.7,99.5,98.5,89.2,89.9,33.9,78.0,90.9,60.2,95.7,3188.0,99.6,76.1,99.3,42.1,31.1,15.7,43.6
Karnataka,KA,Koppal,63.9,59.8,34.4,27.1,99.2,96.0,58.8,47.4,20.6,52.4,50.7,15.8,80.7,4909.0,90.7,68.2,89.2,19.1,49.1,45.8,54.8
Karnataka,KA,Mandya,67.7,78.3,52.5,13.1,98.4,98.4,86.7,90.5,39.9,85.6,90.1,54.8,95.5,4109.0,99.5,60.2,97.3,39.5,24.3,16.7,47.0
Karnataka,KA,Mysore,72.4,78.9,49.6,17.5,99.5,95.4,86.4,94.7,26.2,82.0,85.7,65.2,93.5,4143.0,100.0,56.2,97.8,43.7,27.5,28.2,48.0
Karnataka,KA,Raichur,55.3,54.3,31.7,21.9,99.7,94.0,53.0,64.9,17.8,66.4,67.5,32.8,76.1,6277.0,88.9,64.4,83.3,20.0,39.8,40.7,60.4
Karnataka,KA,Ramanagara,68.8,82.7,54.5,11.8,99.6,98.3,89.6,92.0,35.7,91.8,88.7,47.9,87.0,4877.0,100.0,68.8,100.0,39.9,15.6,19.8,45.5
Karnataka,KA,Shimoga,78.8,79.8,49.1,11.1,99.5,94.6,85.4,85.7,26.5,58.7,79.4,56.6,91.5,5284.0,99.7,74.1,96.5,43.7,29.0,34.4,41.9
Karnataka,KA,Tumkur,72.3,81.9,58.9,24.8,99.6,96.2,86.1,85.3,31.0,68.6,80.4,61.8,95.2,4533.0,100.0,66.9,93.1,52.1,40.3,26.7,49.3
Karnataka,KA,Udupi,82.0,90.3,55.4,4.4,99.6,81.5,94.5,67.8,50.9,75.1,59.4,51.3,89.2,2886.0,98.9,37.6,90.2,51.9,23.1,21.0,47.3
Karnataka,KA,Uttara Kannada,81.1,84.3,49.2,11.6,99.1,84.8,89.6,73.4,32.0,80.4,57.9,35.6,87.4,5362.0,99.3,69.5,99.2,36.3,29.6,33.3,44.6
Karnataka,KA,Yadgir,51.9,48.1,26.4,33.2,99.0,95.2,37.4,48.8,16.7,57.4,63.6,29.6,73.3,4386.0,93.3,73.4,93.0,14.3,57.6,45.2,57.3
Kerala,KL,Alappuzha,97.8,99.7,78.8,3.8,99.9,98.4,99.2,79.2,60.4,85.1,65.7,61.0,89.2,10557.0,99.4,49.0,100.0,47.8,20.1,20.4,31.9
Kerala,KL,Ernakulam,97.2,99.3,83.8,2.9,100.0,98.2,99.3,88.4,46.2,92.6,82.2,82.8,96.1,4940.0,99.1,23.2,100.0,51.1,22.0,19.4,31.7
Kerala,KL,Idukki,93.0,94.4,73.2,7.1,99.0,82.3,97.5,54.3,58.1,93.3,74.3,75.6,94.0,4942.0,100.0,47.6,100.0,40.3,24.3,23.6,32.0
Kerala,KL,Kannur,96.7,99.1,74.1,5.4,99.7,93.9,99.5,70.4,47.9,94.8,78.3,78.0,93.4,6125.0,100.0,33.6,100.0,39.7,19.4,17.9,39.7
Kerala,KL,Kasaragod,90.8,95.9,68.3,4.7,99.5,93.2,98.9,73.5,44.0,97.4,91.2,89.4,95.0,3778.0,100.0,29.9,100.0,28.8,25.3,21.4,35.4
Kerala,KL,Kollam,96.6,98.2,80.6,1.8,99.8,95.7,97.5,80.1,56.0,92.6,79.3,89.0,91.4,6836.0,100.0,44.7,100.0,49.1,15.5,17.0,36.0
Kerala,KL,Kottayam,97.9,99.7,85.8,1.6,99.6,97.1,98.6,72.5,53.2,81.6,55.1,51.1,85.0,10236.0,98.7,44.3,99.3,48.0,23.4,17.3,38.7
Kerala,KL,Kozhikode,97.7,99.1,84.3,4.2,99.6,93.3,99.6,73.8,61.1,98.3,91.8,85.7,91.0,4734.0,100.0,42.2,100.0,45.7,21.3,18.9,29.8
Kerala,KL,Malappuram,94.9,99.2,69.5,15.3,99.7,97.7,99.9,59.0,42.8,95.3,90.4,92.3,96.9,6760.0,100.0,25.6,100.0,25.5,29.4,21.4,34.7
Kerala,KL,Palakkad,89.6,94.4,63.2,14.1,98.9,94.7,99.0,67.5,53.8,97.7,68.4,71.7,97.5,6211.0,100.0,29.6,100.0,31.2,29.7,27.7,49.6
Kerala,KL,Pathanamthitta,97.7,99.7,84.5,0.0,99.6,94.1,98.9,60.1,50.1,92.9,83.9,74.7,95.2,7608.0,99.1,36.8,99.2,57.6,22.7,11.2,36.4
Kerala,KL,Thiruvananthapuram,94.5,98.5,83.1,6.2,99.9,92.9,95.4,72.2,48.7,87.7,55.3,71.6,86.2,10165.0,99.5,34.7,100.0,32.8,19.5,15.2,33.0
Kerala,KL,Thrissur,97.8,99.4,79.2,1.0,100.0,93.7,99.5,76.3,48.7,97.1,82.4,78.6,95.2,5007.0,100.0,30.9,100.0,45.7,22.0,17.3,44.4
Kerala,KL,Wayanad,88.2,93.7,68.0,8.4,97.0,94.1,97.6,55.7,64.8,97.6,94.2,94.9,95.9,7967.0,100.0,37.6,100.0,25.7,31.3,22.5,26.9
Ladakh,LH,Kargil,69.6,77.2,50.3,2.5,99.1,90.2,42.3,58.1,13.6,91.0,88.0,19.6,78.3,3569.0,93.7,93.7,95.6,32.0,36.5,21.8,92.0
Ladakh,LH,Leh (Ladakh),66.3,76.4,49.8,2.5,99.8,87.1,42.4,93.5,16.2,80.9,69.6,9.5,80.8,4043.0,96.4,95.7,98.4,43.1,24.3,19.0,93.5
Maharashtra,MH,Ahmednagar,77.4,86.2,45.7,26.9,94.5,90.0,79.5,77.4,12.0,71.4,76.6,53.3,90.9,5575.0,97.9,45.5,95.0,28.1,31.7,41.2,50.3
Maharashtra,MH,Akola,86.3,87.5,52.7,13.5,97.6,95.1,69.5,75.5,40.1,75.1,76.3,60.6,82.3,1753.0,97.7,65.9,86.4,29.1,31.8,30.8,52.6
Maharashtra,MH,Amravati,86.2,87.8,55.0,9.8,99.1,95.8,75.7,71.7,31.9,89.1,71.7,38.1,80.2,3557.0,91.3,65.4,89.7,30.2,29.0,38.0,53.4
Maharashtra,MH,Aurangabad,78.4,83.1,48.4,35.8,97.0,91.7,69.1,78.4,12.4,65.2,57.2,14.5,76.4,4039.0,94.8,61.1,96.3,17.5,34.2,42.9,52.4
Maharashtra,MH,Bhandara,80.3,89.1,53.9,1.5,98.8,92.0,81.8,71.4,30.0,83.7,79.0,64.4,87.5,2584.0,100.0,94.1,98.4,31.3,31.3,33.9,65.3
Maharashtra,MH,Bid,64.6,76.3,38.6,43.7,94.8,85.4,66.4,54.4,9.3,65.6,56.8,28.4,79.8,3988.0,94.0,63.7,90.8,17.5,40.8,36.8,50.8
Maharashtra,MH,Buldana,78.1,79.9,41.8,24.1,97.1,89.7,68.9,69.2,37.9,73.6,72.7,61.2,86.7,2641.0,93.9,70.9,92.4,17.6,45.0,47.2,57.8
Maharashtra,MH,Chandrapur,78.9,87.8,57.5,9.0,98.9,96.5,77.3,85.1,28.9,76.6,68.5,69.2,92.3,2109.0,99.6,85.2,96.5,20.8,37.3,46.6,55.5
Maharashtra,MH,Dhule,73.5,68.8,40.8,40.5,96.0,89.9,58.9,65.1,19.8,61.2,63.2,30.7,77.2,2269.0,77.2,48.8,84.2,17.0,37.6,46.0,61.2
Maharashtra,MH,Gadchiroli,67.1,79.4,42.3,10.1,95.8,83.0,62.4,60.5,33.3,84.6,86.8,70.8,91.5,1847.0,97.3,90.5,98.2,17.3,35.7,35.4,66.2
Maharashtra,MH,Gondiya,80.4,87.5,54.1,6.5,98.2,91.6,74.3,68.0,30.6,69.0,66.2,46.0,90.0,1684.0,99.1,88.6,98.3,27.0,36.9,35.6,60.4
Maharashtra,MH,Hingoli,69.4,76.5,33.2,37.1,98.1,92.4,69.0,53.1,14.7,82.5,66.6,23.2,82.4,3114.0,94.0,68.6,95.3,16.4,37.4,38.9,51.3
Maharashtra,MH,Jalgaon,77.5,76.5,40.8,28.0,96.8,94.3,59.7,79.5,11.9,60.3,58.4,28.9,74.5,3366.0,86.5,40.2,81.9,27.5,36.3,36.9,65.2
Maharashtra,MH,Jalna,67.6,71.8,34.3,35.0,95.7,82.8,63.6,56.4,9.7,56.0,58.4,27.2,74.0,4178.0,92.8,57.3,86.5,15.2,38.0,39.0,58.2
Maharashtra,MH,Kolhapur,80.2,90.7,53.8,21.0,98.8,97.3,82.0,84.7,16.5,71.5,81.8,58.8,95.2,2958.0,99.2,45.6,93.6,38.1,33.6,34.7,50.1
Maharashtra,MH,Latur,70.6,83.3,40.7,31.0,97.2,94.6,72.5,78.5,33.6,74.6,72.6,53.6,93.3,2483.0,94.7,66.8,93.4,19.0,43.2,33.9,50.7
Maharashtra,MH,Mumbai,92.5,94.3,71.1,4.5,99.6,100.0,58.6,98.3,30.7,86.2,87.1,72.4,90.6,6233.0,99.5,55.5,98.3,30.4,26.6,29.6,45.9
Maharashtra,MH,Mumbai Suburban,88.5,91.6,65.7,10.0,99.2,99.8,62.6,98.7,20.2,58.1,72.2,54.8,91.5,3943.0,98.1,56.0,98.5,31.7,37.2,24.6,50.0
Maharashtra,MH,Nagpur,86.5,94.6,67.6,7.1,99.5,99.5,88.9,96.0,25.6,78.1,71.4,57.1,91.4,3249.0,100.0,61.9,96.6,33.7,27.6,33.9,53.6
Maharashtra,MH,Nanded,68.1,71.9,31.6,32.2,96.4,94.8,68.0,64.5,15.7,62.5,53.5,21.7,76.1,2964.0,94.8,66.7,92.6,14.0,36.0,35.2,57.3
Maharashtra,MH,Nandurbar,63.5,57.7,29.9,24.0,96.2,94.6,54.1,40.3,15.3,51.0,58.2,38.3,74.4,1313.0,76.3,60.7,77.9,7.9,45.8,57.2,64.2
Maharashtra,MH,Nashik,78.2,80.0,42.6,29.6,95.3,86.3,68.3,72.5,14.7,66.9,66.4,43.4,76.5,1698.0,90.5,52.0,89.9,21.2,42.2,44.8,56.2
Maharashtra,MH,Osmanabad,71.3,83.7,41.5,36.6,96.8,96.4,71.2,69.7,14.8,83.9,89.2,66.1,94.4,2654.0,98.1,68.4,99.0,18.5,37.2,32.5,49.1
Maharashtra,MH,Palghar,77.5,77.6,48.3,14.6,97.7,91.1,75.1,75.0,18.8,84.7,86.3,65.3,97.0,1948.0,94.2,65.9,95.7,22.6,33.0,37.1,56.9
Maharashtra,MH,Parbhani,67.1,73.4,28.8,48.0,96.8,89.0,60.1,54.8,10.5,58.6,47.4,17.9,64.4,2779.0,85.6,53.6,90.8,12.5,37.6,41.8,58.8
Maharashtra,MH,Pune,84.8,89.0,61.2,24.0,99.4,96.9,79.6,89.5,14.4,79.6,68.6,50.2,84.2,3677.0,98.0,43.4,98.5,34.6,30.7,32.7,51.9
Maharashtra,MH,Raigarh,73.7,79.2,45.0,16.0,97.9,87.8,74.8,83.3,26.3,83.8,83.1,61.6,93.0,1676.0,96.6,54.8,97.6,26.1,35.8,34.1,54.2
Maharashtra,MH,Ratnagiri,80.3,87.2,41.2,4.4,99.2,90.9,85.6,58.1,16.6,64.6,78.6,54.6,89.7,3096.0,97.8,53.5,95.6,30.8,31.7,29.5,43.4
Maharashtra,MH,Sangli,80.4,90.3,54.6,27.0,98.2,96.8,84.7,87.3,12.3,66.0,80.1,58.2,95.6,3548.0,98.0,38.5,97.6,34.3,35.0,27.2,47.5
Maharashtra,MH,Satara,78.5,87.2,48.3,18.1,97.9,95.6,78.7,82.1,11.4,77.5,81.7,59.5,94.5,2607.0,97.1,43.8,97.9,36.2,20.2,28.0,49.6
Maharashtra,MH,Sindhudurg,83.1,92.1,49.4,5.0,99.4,73.2,87.9,66.0,13.2,70.3,73.4,59.6,96.7,3290.0,100.0,65.5,98.6,31.8,30.8,32.0,41.2
Maharashtra,MH,Solapur,72.0,76.4,36.0,40.3,97.1,90.4,67.8,73.1,20.5,81.3,81.9,60.3,89.6,1910.0,96.2,51.5,96.3,21.2,36.3,32.9,54.5
Maharashtra,MH,Thane,86.1,90.5,55.9,18.4,99.3,96.7,74.7,90.4,22.7,58.9,70.2,54.9,87.2,2275.0,93.6,50.6,93.9,26.6,40.8,30.8,58.8
Maharashtra,MH,Wardha,85.1,93.0,56.5,9.0,98.8,98.5,80.2,83.9,27.1,87.9,70.4,50.6,89.9,3482.0,98.8,72.4,99.0,24.1,27.7,31.3,60.0
Maharashtra,MH,Washim,76.0,78.0,42.0,27.7,97.2,73.7,61.5,61.4,24.1,63.4,60.0,44.5,83.4,3071.0,92.9,65.1,83.1,18.0,35.3,39.3,56.4
Maharashtra,MH,Yavatmal,77.6,80.8,38.9,11.7,97.2,89.5,66.4,71.8,29.0,77.1,66.9,41.7,85.6,1734.0,96.3,67.4,96.8,16.0,36.6,39.4,58.4
Manipur,MN,Bishnupur,81.5,88.4,48.7,20.9,98.6,77.7,52.6,71.3,9.3,84.2,77.4,57.4,79.0,16362.0,89.5,68.6,92.6,38.2,15.5,11.7,35.8
Manipur,MN,Chandel,76.9,80.2,43.3,22.3,99.9,68.6,85.2,52.0,16.1,77.6,66.6,44.2,55.0,10920.0,55.5,37.4,74.0,14.9,34.0,14.7,27.3
Manipur,MN,Churachandpur,84.0,84.2,36.6,10.5,94.0,62.5,81.2,62.3,18.2,69.0,61.3,28.5,58.2,10646.0,72.9,50.4,80.0,9.6,25.1,9.8,32.0
Manipur,MN,Imphal East,87.2,90.0,49.9,15.2,98.6,90.2,59.5,79.0,7.0,78.6,87.1,55.8,85.4,18578.0,91.7,66.7,93.0,35.8,18.4,14.4,35.9
Manipur,MN,Imphal West,89.0,92.5,61.9,15.3,99.4,89.1,58.7,88.6,15.7,83.2,93.4,60.9,90.8,14173.0,95.7,67.6,98.0,44.5,15.6,10.2,26.8
Manipur,MN,Senapati,79.6,81.9,39.6,15.5,98.8,64.4,84.4,50.0,15.4,73.9,64.9,28.4,37.0,12254.0,45.8,36.1,65.0,8.8,27.3,12.9,27.4
Manipur,MN,Tamenglong,78.4,76.8,33.1,19.9,93.6,51.6,77.9,30.5,16.8,69.4,56.4,31.0,52.7,8744.0,57.7,53.0,69.9,10.3,27.1,19.3,27.3
Manipur,MN,Thoubal,79.9,85.4,40.7,17.5,98.6,72.5,61.3,74.7,19.1,90.6,89.9,68.5,75.6,13144.0,87.8,72.4,91.1,20.2,31.5,14.9,24.2
Manipur,MN,Ukhrul,83.7,86.9,49.7,11.1,95.0,50.9,81.4,22.9,17.0,58.3,38.8,25.1,44.9,13190.0,44.6,21.0,54.5,6.4,27.1,16.0,21.9
Meghalaya,ML,East Garo Hills,90.9,86.7,40.5,13.7,97.4,67.0,83.9,29.1,71.9,59.2,25.5,28.8,59.9,2473.0,73.8,73.5,80.8,4.0,39.7,26.5,50.9
Meghalaya,ML,East Jaintia Hills,76.0,76.0,23.0,25.3,85.1,74.6,83.6,26.5,74.1,55.5,58.6,51.9,49.1,3464.0,48.4,36.3,55.7,8.0,49.8,23.6,43.9
Meghalaya,ML,East Khasi Hills,88.7,93.7,43.5,14.6,96.6,90.0,80.9,47.4,47.1,56.7,57.5,40.1,33.6,3258.0,63.4,48.4,68.7,13.9,44.6,23.8,48.2
Meghalaya,ML,North Garo Hills,91.3,86.1,38.4,13.2,97.5,51.5,84.9,24.4,60.8,40.3,24.3,23.7,40.5,4504.0,61.5,60.4,63.2,3.3,35.6,15.8,58.4
Meghalaya,ML,Ribhoi,85.3,89.5,23.1,20.3,92.1,86.2,85.3,21.0,66.8,56.1,61.0,48.8,39.5,3648.0,56.9,45.6,65.8,8.7,42.5,29.6,62.4
Meghalaya,ML,South Garo Hills,89.2,88.6,38.4,10.2,98.6,60.4,88.4,22.3,79.5,68.7,33.3,51.8,65.9,2370.0,88.3,88.3,91.2,4.7,29.8,20.8,56.2
Meghalaya,ML,South West Garo Hills,81.7,82.6,33.0,15.3,95.5,58.6,71.4,33.9,75.1,57.0,28.5,28.3,60.6,2666.0,83.7,83.7,88.3,2.4,32.2,26.4,62.5
Meghalaya,ML,South West Khasi Hills,84.6,85.9,23.4,21.6,87.9,85.3,89.6,11.6,72.3,48.5,63.4,53.8,42.9,3902.0,41.7,37.6,49.3,4.2,51.4,27.6,58.9
Meghalaya,ML,West Garo Hills,88.7,89.0,45.1,10.4,94.7,83.7,86.3,47.6,77.9,65.1,48.0,48.2,70.9,3235.0,89.6,85.1,87.5,8.4,39.5,26.3,55.3
Meghalaya,ML,West Jaintia Hills,73.8,80.0,24.7,19.9,75.4,70.6,75.1,20.7,65.6,44.0,43.1,32.7,28.6,2917.0,42.2,31.9,50.7,6.2,48.7,28.3,55.9
Meghalaya,ML,West Khasi Hills,85.1,87.4,16.4,30.3,85.0,80.5,87.8,8.6,60.1,45.3,64.0,51.6,42.0,2947.0,41.7,36.1,49.3,4.7,59.0,31.1,51.8
Mizoram,MZ,Aizawl,97.8,98.9,60.7,3.2,99.7,98.3,96.1,95.4,37.5,82.8,68.5,58.5,73.4,9812.0,97.4,76.3,97.8,18.2,25.3,9.6,31.7
Mizoram,MZ,Champhai,93.3,97.7,47.8,11.0,100.0,98.6,98.3,79.4,64.9,80.0,63.4,74.3,72.3,4336.0,96.7,91.5,97.5,6.6,27.2,13.1,25.7
Mizoram,MZ,Kolasib,93.9,96.9,41.7,13.7,99.1,95.3,96.8,87.5,61.1,72.7,66.0,67.7,71.5,4834.0,91.4,82.9,93.2,8.4,30.4,12.6,37.7
Mizoram,MZ,Lawngtlai,79.9,76.0,32.2,16.0,89.0,82.2,90.3,56.3,31.3,51.5,33.0,50.7,46.2,7318.0,53.7,48.4,59.9,3.9,32.7,16.9,48.5
Mizoram,MZ,Lunglei,89.8,91.6,46.3,4.8,98.0,96.0,95.6,79.9,46.5,68.8,56.7,64.7,67.1,5717.0,82.7,69.4,80.2,5.4,26.5,11.1,34.9
Mizoram,MZ,Mamit,90.7,89.6,40.0,16.8,97.9,97.3,92.7,73.3,61.7,64.5,52.5,68.8,63.9,4150.0,75.0,71.8,81.1,3.5,26.4,13.9,34.9
Mizoram,MZ,Saiha,92.2,95.1,50.2,11.8,99.7,95.2,91.5,83.7,44.2,60.7,35.5,51.4,59.6,7521.0,73.8,70.3,80.5,9.5,43.8,17.6,44.2
Mizoram,MZ,Serchhip,96.8,99.7,43.1,7.2,99.3,97.7,98.2,81.8,58.8,77.6,60.3,73.0,86.2,6449.0,96.2,90.7,96.8,13.9,31.8,14.4,32.1
Nagaland,NL,Dimapur,89.8,86.6,52.5,4.4,99.8,92.4,81.1,84.2,5.7,71.4,50.1,14.9,68.7,7330.0,73.7,43.2,80.7,14.6,28.3,29.8,34.7
Nagaland,NL,Kiphire,77.4,73.7,22.0,22.5,97.9,90.9,83.1,16.4,8.8,27.2,5.8,1.6,31.9,6288.0,34.8,33.8,46.7,2.1,36.9,25.0,31.4
