State,State-Code,District,female_school_attendance,female_literacy,women_10yr_schooling,child_marriage,hh_electricity,improved_water,improved_sanitation,clean_fuel,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance,csection_rate,child_stunting,child_underweight,women_anaemic
Assam,AS,Golaghat,77.6,75.1,27.9,20.7,96.4,93.7,73.1,33.1,69.3,76.1,65.7,63.7,73.5,5186.0,90.4,81.4,92.1,22.6,26.3,25.5,77.2
Assam,AS,Hailakandi,81.5,82.2,25.3,32.9,91.2,41.2,60.0,35.2,53.6,77.6,43.1,29.0,68.8,5090.0,83.0,75.1,84.8,12.8,42.9,42.4,61.4
Assam,AS,Hojai,79.1,83.2,23.1,30.9,96.3,99.9,63.1,52.0,67.4,52.7,51.3,50.5,63.9,5299.0,82.1,59.4,83.5,18.4,39.3,28.4,56.3
Assam,AS,Jorhat,84.4,85.1,42.9,24.9,95.1,85.9,80.4,48.3,60.1,78.3,67.0,52.1,81.4,8435.0,96.5,74.9,97.4,44.4,38.7,33.2,71.8
Assam,AS,Kamrup,79.4,79.6,39.2,21.9,94.8,92.1,68.7,57.4,47.0,57.0,46.9,42.5,61.4,8654.0,85.0,69.8,88.5,32.8,22.6,19.7,71.5
Assam,AS,Kamrup Metropolitan,87.5,86.0,49.1,21.9,99.2,87.2,65.2,85.1,45.5,77.6,68.9,51.7,75.6,8275.0,89.1,55.7,90.1,38.0,25.4,25.0,74.6
Assam,AS,Karbi Anglong,76.4,78.8,30.3,26.1,97.0,79.6,75.2,33.4,54.1,64.8,63.9,35.3,56.9,6822.0,74.9,69.2,78.3,15.2,31.6,28.2,59.0
Assam,AS,Karimganj,82.1,80.7,19.6,27.7,87.1,62.3,61.5,39.6,64.4,54.8,42.8,39.9,63.9,4287.0,76.4,69.8,78.3,7.0,29.1,52.9,52.0
Assam,AS,Kokrajhar,75.2,73.7,27.5,36.2,93.9,87.3,72.2,43.3,50.2,67.0,36.9,61.1,68.3,3780.0,81.9,76.8,82.0,12.0,34.6,35.2,59.5
Assam,AS,Lakhimpur,83.2,83.9,42.1,36.3,97.2,81.2,74.2,36.1,67.0,61.0,51.7,42.2,67.7,5098.0,96.2,91.6,96.8,22.7,38.5,34.4,65.4
Assam,AS,Majuli,78.4,83.4,41.7,25.5,93.5,98.6,65.6,19.3,60.8,76.1,72.2,56.7,73.5,6227.0,90.3,85.8,93.5,22.5,35.4,22.2,67.8
Assam,AS,Morigaon,79.1,78.7,24.5,39.1,89.5,94.6,62.3,37.6,62.5,64.0,42.0,53.4,67.9,4379.0,88.3,82.8,90.0,12.3,43.2,30.5,64.2
Assam,AS,Nagaon,81.3,78.4,22.1,42.6,94.5,96.1,66.1,38.6,59.4,73.1,59.4,46.5,62.0,5670.0,83.7,73.4,86.7,17.9,38.9,32.4,61.0
Assam,AS,Nalbari,81.8,83.9,41.6,28.1,94.7,99.5,68.1,51.1,52.5,70.7,55.9,38.6,73.8,6478.0,91.8,69.2,91.4,38.7,27.5,26.7,66.4
Assam,AS,Sivasagar,87.1,86.6,47.1,27.9,97.0,92.7,82.3,45.5,60.7,85.1,80.9,53.7,73.8,5466.0,95.3,76.2,95.6,30.0,26.1,25.9,67.6
Assam,AS,Sonitpur,74.9,76.9,24.3,24.0,88.2,82.9,72.2,45.8,66.9,48.8,45.5,56.4,63.5,5123.0,83.5,73.1,82.8,21.1,36.7,21.9,63.6
Assam,AS,South Salmara Mancachar,69.4,63.5,20.9,44.7,79.5,98.2,59.0,28.5,68.2,60.1,35.3,47.4,62.6,3092.0,71.7,69.9,79.4,5.0,38.9,27.9,57.1
Assam,AS,Tinsukia,72.6,70.5,25.6,19.8,95.7,96.8,66.7,40.9,60.0,70.7,63.1,43.8,73.6,5163.0,82.6,66.2,83.2,26.5,32.8,32.2,72.8
Assam,AS,Udalguri,70.6,70.0,23.8,32.0,95.5,82.3,73.8,34.0,70.6,50.1,49.8,44.2,53.1,6731.0,86.2,78.5,87.9,14.4,33.8,32.5,81.5
Assam,AS,West Karbi Anglong,73.8,73.9,21.7,21.3,94.7,44.7,76.7,17.7,63.1,55.5,46.7,39.9,55.7,3597.0,72.5,68.9,84.5,6.4,40.9,31.1,57.9
Bihar,BR,Araria,53.0,43.7,16.8,52.0,96.2,100.0,32.2,15.2,19.5,41.6,25.8,17.6,46.4,3606.0,66.2,51.5,70.3,9.2,49.9,47.8,67.9
Bihar,BR,Arwal,62.6,62.5,32.9,37.5,97.4,99.9,43.4,29.3,15.6,57.4,34.5,17.2,70.1,1933.0,79.2,58.6,83.1,12.7,45.6,52.9,66.9
Bihar,BR,Aurangabad,65.0,67.6,36.9,27.3,97.7,100.0,47.1,38.9,15.4,53.6,29.3,20.3,71.5,1804.0,77.5,61.9,84.6,10.2,41.2,48.7,60.5
Bihar,BR,Banka,59.3,55.7,22.6,49.4,96.2,96.3,38.2,32.3,13.6,70.7,31.7,24.5,72.3,8076.0,79.8,68.0,80.4,7.5,46.7,45.8,65.9
Bihar,BR,Begusarai,65.0,62.3,34.1,49.5,96.2,99.1,62.2,45.2,13.2,46.5,21.6,21.4,58.6,1710.0,86.0,63.6,85.6,6.3,37.8,35.6,62.9
Bihar,BR,Bhagalpur,65.1,65.6,35.1,42.4,94.5,98.0,60.9,49.2,16.3,53.3,27.6,28.0,54.0,2975.0,77.2,52.1,77.5,11.5,40.0,40.4,73.0
Bihar,BR,Bhojpur,67.9,64.1,34.6,31.2,97.9,99.7,45.9,42.9,9.6,42.7,33.5,15.5,56.1,2214.0,86.9,61.8,87.5,12.6,40.7,44.0,73.6
Bihar,BR,Buxar,64.8,68.1,33.3,30.8,98.5,99.8,52.4,44.7,11.4,61.5,27.4,21.1,66.9,1686.0,89.5,50.9,90.6,7.7,39.6,45.3,66.2
Bihar,BR,Darbhanga,54.9,49.4,22.7,45.1,97.2,99.8,48.7,41.6,25.3,51.8,24.9,22.0,50.5,3230.0,69.9,55.8,75.9,10.6,45.4,39.2,60.8
Bihar,BR,Gaya,59.6,59.4,30.7,42.8,97.9,99.2,44.4,34.7,9.7,63.2,25.1,18.9,72.5,1927.0,76.6,49.1,77.7,14.4,47.4,43.5,64.3
Bihar,BR,Gopalganj,63.3,63.3,32.9,28.0,96.2,99.9,60.1,39.4,12.7,53.2,27.9,23.6,53.9,2559.0,85.9,60.3,88.0,9.1,34.2,29.2,53.8
Bihar,BR,Jamui,53.1,48.7,20.6,51.9,97.9,90.5,37.6,40.2,14.3,73.8,37.9,27.8,66.7,5290.0,73.4,53.3,72.7,7.5,43.0,37.5,75.2
Bihar,BR,Jehanabad,61.7,63.2,30.5,41.6,99.3,99.8,45.5,34.3,13.2,58.4,17.4,24.2,77.7,1512.0,89.1,61.6,88.3,20.3,41.3,51.7,68.1
Bihar,BR,Kaimur (Bhabua),62.3,66.0,29.5,27.1,96.7,98.0,59.1,29.0,18.1,62.4,25.6,11.2,81.6,1671.0,83.3,63.2,86.0,7.4,44.1,47.2,70.3
Bihar,BR,Katihar,57.5,49.7,19.8,49.4,92.0,99.2,44.6,16.9,8.4,40.9,15.3,16.2,41.7,2333.0,66.9,59.9,73.8,4.0,43.9,48.1,68.4
Bihar,BR,Khagaria,60.6,51.8,26.6,44.9,94.5,98.8,65.0,33.2,15.6,44.6,17.4,15.8,54.2,4327.0,74.2,64.0,82.3,4.4,34.8,36.4,59.5
Bihar,BR,Kishanganj,56.0,48.0,15.0,36.6,95.8,100.0,52.4,15.3,8.1,37.6,17.1,17.5,40.7,4174.0,54.6,41.5,64.9,12.1,38.8,41.1,65.1
Bihar,BR,Lakhisarai,61.2,57.9,30.0,56.1,98.0,96.6,51.6,42.6,15.1,66.1,28.0,21.1,66.7,9523.0,75.8,58.4,76.2,9.3,42.7,45.1,72.6
Bihar,BR,Madhepura,58.0,47.6,23.2,52.0,97.0,99.3,34.6,13.4,9.5,53.8,20.9,14.9,49.5,982.0,75.0,68.8,77.1,3.0,46.3,43.5,65.7
Bihar,BR,Madhubani,55.6,53.2,26.5,39.2,98.6,100.0,38.2,40.0,19.2,67.5,34.9,16.2,58.9,2426.0,73.7,52.4,78.5,13.2,43.3,36.0,61.4
Bihar,BR,Munger,69.5,69.5,44.4,34.7,98.4,97.7,62.8,59.4,15.2,68.7,36.8,33.0,80.7,2461.0,93.2,60.0,92.3,21.8,35.5,39.5,71.4
Bihar,BR,Muzaffarpur,65.1,63.0,33.8,32.9,96.6,99.9,55.2,41.5,13.2,55.9,28.2,13.7,55.9,3663.0,72.5,51.3,78.2,10.5,42.6,34.7,58.9
Bihar,BR,Nalanda,59.6,56.1,28.8,42.0,98.9,98.9,52.5,41.0,12.8,64.7,29.3,16.4,77.5,2628.0,80.3,53.9,85.1,17.1,42.6,46.7,71.0
Bihar,BR,Nawada,61.4,62.1,37.3,43.3,97.4,99.3,47.9,40.7,8.1,69.5,31.6,17.5,74.1,2858.0,79.9,51.5,79.5,12.4,49.4,37.3,70.4
Bihar,BR,Pashchim Champaran,59.8,52.5,21.6,39.1,93.5,99.7,43.3,31.4,20.0,55.0,25.4,9.9,57.3,1882.0,79.5,60.6,78.4,6.4,43.5,30.3,50.6
Bihar,BR,Patna,69.5,67.6,43.6,26.6,99.0,98.8,61.0,64.6,10.2,51.7,17.9,20.7,59.0,2863.0,89.1,51.0,81.4,22.0,34.5,39.6,67.1
Bihar,BR,Purba Champaran,58.2,50.2,20.1,49.2,94.8,99.9,48.3,44.2,19.4,45.4,21.7,18.4,43.7,2811.0,61.5,43.0,67.4,5.4,49.1,37.9,57.3
Bihar,BR,Purnia,53.6,47.5,19.2,51.2,92.4,99.6,35.6,19.3,10.2,26.3,11.1,12.7,41.0,4083.0,68.9,55.7,74.2,7.1,43.5,47.1,66.0
Bihar,BR,Rohtas,70.5,76.5,42.6,30.3,98.5,99.6,69.0,47.4,17.2,64.9,34.2,17.4,85.0,1621.0,89.1,51.7,91.3,14.1,40.0,48.2,64.9
Bihar,BR,Saharsa,50.2,43.1,20.9,51.0,97.2,100.0,40.5,25.2,12.8,34.8,11.7,12.1,38.5,2273.0,70.4,62.0,72.9,6.1,47.8,42.7,65.3
Bihar,BR,Samastipur,60.9,54.3,26.5,49.8,95.7,98.6,48.8,36.1,19.0,53.4,23.5,20.8,52.1,2268.0,83.4,71.9,83.7,6.2,44.0,42.8,60.5
Bihar,BR,Saran,64.8,65.6,35.5,26.2,93.6,99.7,37.2,36.8,9.4,44.4,30.7,14.8,54.1,2903.0,73.0,57.2,79.1,8.0,39.7,45.0,62.8
Bihar,BR,Sheikhpura,58.5,55.0,28.3,46.1,97.3,98.4,54.2,40.3,9.7,68.8,28.4,24.1,77.1,1842.0,89.2,69.7,91.8,14.6,53.6,37.6,69.5
Bihar,BR,Sheohar,56.2,52.5,21.0,34.6,97.6,100.0,57.9,31.3,18.1,62.8,25.3,11.3,61.1,2090.0,74.3,63.8,77.0,5.3,34.4,42.2,61.6
Bihar,BR,Sitamarhi,59.1,51.7,19.2,46.8,93.1,99.7,50.7,40.5,20.7,57.8,20.3,14.3,51.1,2538.0,64.4,49.9,69.6,8.5,54.2,40.8,61.7
Bihar,BR,Siwan,70.7,70.9,38.9,21.3,95.3,99.8,47.7,48.0,8.2,61.0,30.3,21.1,63.9,4135.0,86.4,65.3,86.9,11.3,36.7,30.8,53.1
Bihar,BR,Supaul,50.9,42.1,16.2,55.9,97.3,99.7,50.7,15.0,14.2,59.0,30.9,13.2,60.7,1760.0,80.4,73.6,79.4,3.7,42.3,45.0,60.7
Bihar,BR,Vaishali,64.5,62.4,34.0,44.9,96.5,99.2,52.6,40.9,13.5,46.7,24.5,14.8,57.4,2571.0,81.6,63.1,84.8,9.5,38.3,38.4,63.1
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,70.8,72.8,31.5,30.0,99.7,94.8,63.1,74.3,58.8,82.0,90.9,65.1,92.2,502.0,96.3,75.8,98.1,21.9,42.4,42.1,64.4
Dadra & Nagar Haveli and Daman & Diu,DD,Daman,83.8,85.9,42.9,22.8,99.5,96.0,67.1,92.1,32.9,62.7,70.5,38.4,89.5,1200.0,97.4,60.5,96.9,23.6,30.0,29.3,60.8
Dadra & Nagar Haveli and Daman & Diu,DD,Diu,77.8,90.8,52.7,2.3,100.0,99.7,89.7,85.3,64.0,85.7,90.7,79.9,93.0,1310.0,95.7,63.9,97.2,33.5,33.9,28.5,50.3
Goa,GA,North Goa,89.5,92.4,72.0,7.5,100.0,98.1,87.7,96.7,64.8,74.6,91.3,84.8,93.1,3824.0,99.6,58.6,98.6,39.5,24.2,25.8,40.0
Goa,GA,South Goa,88.2,93.8,70.9,3.9,100.0,99.0,88.2,96.2,67.7,62.7,96.0,92.2,99.5,3768.0,100.0,52.0,100.0,39.4,28.3,21.0,37.6
Gujarat,GJ,Ahmedabad,79.8,81.5,42.7,17.5,99.5,98.7,86.4,89.7,36.2,73.5,77.8,69.0,90.0,1279.0,94.5,46.7,95.3,32.4,35.5,34.0,63.7
Gujarat,GJ,Amreli,69.9,77.2,27.2,10.5,99.6,97.8,73.3,65.6,47.7,93.9,92.6,73.8,87.0,1648.0,90.1,45.5,81.2,18.7,35.3,30.6,50.0
Gujarat,GJ,Anand,75.2,75.9,32.2,28.0,98.0,99.7,82.1,65.1,36.2,74.2,64.2,55.5,90.3,2488.0,96.0,41.2,95.2,22.4,38.4,46.6,66.4
Gujarat,GJ,Aravali,68.6,71.9,34.7,27.0,96.5,98.5,56.3,47.9,43.9,62.6,73.8,56.0,87.6,3666.0,92.2,34.8,93.0,21.0,47.1,47.2,77.3
Gujarat,GJ,Banaskantha,61.1,63.7,17.6,37.3,91.1,93.6,53.9,45.6,41.0,68.0,56.1,56.8,86.1,1377.0,92.9,29.1,92.7,18.5,39.0,44.1,60.0
Gujarat,GJ,Bharuch,76.7,74.0,31.5,16.8,98.2,97.2,77.7,60.2,37.4,63.4,65.7,38.4,78.8,1724.0,91.1,49.6,92.1,19.5,40.9,45.5,71.8
Gujarat,GJ,Bhavnagar,72.0,74.2,26.3,18.0,96.9,95.1,72.9,59.8,32.2,76.6,70.9,45.2,87.0,1933.0,94.2,44.3,96.0,23.7,32.6,39.5,49.4
Gujarat,GJ,Botad,68.9,71.8,22.0,13.0,99.3,99.2,72.0,63.0,38.0,82.3,82.7,54.6,85.4,2027.0,93.5,39.2,74.5,16.6,32.2,32.3,58.8
Gujarat,GJ,Chhota Udaipur,52.3,53.2,20.3,27.5,95.3,97.4,53.0,25.7,40.0,81.9,81.2,59.4,91.1,924.0,85.7,68.8,88.3,7.5,48.6,48.1,78.9
Gujarat,GJ,Dahod,59.6,56.1,23.1,29.9,89.3,91.0,35.9,26.8,40.3,75.2,70.9,65.0,87.2,1516.0,92.5,68.2,93.2,6.1,55.3,53.0,75.1
Gujarat,GJ,Devbhumi Dwarka,59.0,66.1,15.8,11.6,98.7,93.9,73.4,61.2,33.5,84.1,76.6,29.1,90.1,1463.0,94.8,37.2,91.7,17.9,30.2,36.2,48.8
Gujarat,GJ,Gandhinagar,77.6,81.8,37.9,32.6,97.8,99.7,84.6,76.9,29.7,69.5,71.0,38.1,88.2,2445.0,97.8,39.5,89.3,32.7,38.1,44.6,68.8
Gujarat,GJ,Gir Somnath,65.8,73.1,30.8,9.9,99.5,98.2,74.3,46.8,46.6,79.2,80.7,53.5,90.8,1194.0,87.1,34.0,91.8,17.2,44.4,30.3,49.9
Gujarat,GJ,Jamnagar,72.8,83.1,35.3,6.8,98.9,99.7,86.6,81.6,38.6,91.7,73.8,52.5,92.4,1150.0,96.5,55.4,96.2,23.3,28.4,28.9,50.2
Gujarat,GJ,Junagadh,73.8,82.8,35.0,11.2,99.3,97.0,81.7,67.2,47.3,82.0,72.5,39.6,84.1,1272.0,97.4,60.3,97.7,23.0,37.3,26.4,58.8
Gujarat,GJ,Kachchh,66.6,75.6,24.1,19.0,99.2,96.8,85.8,67.2,34.3,88.8,84.2,74.3,93.9,1793.0,97.4,45.3,97.6,15.8,37.5,33.4,57.5
Gujarat,GJ,Kheda,74.0,70.9,24.2,49.2,96.9,97.7,63.3,48.0,32.2,64.0,61.2,42.4,85.1,2371.0,95.2,47.5,88.4,18.9,37.3,39.5,76.1
