State,State-Code,District,female_school_attendance,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance
Bihar,BR,Bhagalpur,65.1,16.3,53.3,27.6,28.0,54.0,2975.0,77.2,52.1,77.5
Bihar,BR,Bhojpur,67.9,9.6,42.7,33.5,15.5,56.1,2214.0,86.9,61.8,87.5
Bihar,BR,Buxar,64.8,11.4,61.5,27.4,21.1,66.9,1686.0,89.5,50.9,90.6
Bihar,BR,Darbhanga,54.9,25.3,51.8,24.9,22.0,50.5,3230.0,69.9,55.8,75.9
Bihar,BR,Gaya,59.6,9.7,63.2,25.1,18.9,72.5,1927.0,76.6,49.1,77.7
Bihar,BR,Gopalganj,63.3,12.7,53.2,27.9,23.6,53.9,2559.0,85.9,60.3,88.0
Bihar,BR,Jamui,53.1,14.3,73.8,37.9,27.8,66.7,5290.0,73.4,53.3,72.7
Bihar,BR,Jehanabad,61.7,13.2,58.4,17.4,24.2,77.7,1512.0,89.1,61.6,88.3
Bihar,BR,Kaimur (Bhabua),62.3,18.1,62.4,25.6,11.2,81.6,1671.0,83.3,63.2,86.0
Bihar,BR,Katihar,57.5,8.4,40.9,15.3,16.2,41.7,2333.0,66.9,59.9,73.8
Bihar,BR,Khagaria,60.6,15.6,44.6,17.4,15.8,54.2,4327.0,74.2,64.0,82.3
Bihar,BR,Kishanganj,56.0,8.1,37.6,17.1,17.5,40.7,4174.0,54.6,41.5,64.9
Bihar,BR,Lakhisarai,61.2,15.1,66.1,28.0,21.1,66.7,9523.0,75.8,58.4,76.2
Bihar,BR,Madhepura,58.0,9.5,53.8,20.9,14.9,49.5,982.0,75.0,68.8,77.1
Bihar,BR,Madhubani,55.6,19.2,67.5,34.9,16.2,58.9,2426.0,73.7,52.4,78.5
Bihar,BR,Munger,69.5,15.2,68.7,36.8,33.0,80.7,2461.0,93.2,60.0,92.3
Bihar,BR,Muzaffarpur,65.1,13.2,55.9,28.2,13.7,55.9,3663.0,72.5,51.3,78.2
Bihar,BR,Nalanda,59.6,12.8,64.7,29.3,16.4,77.5,2628.0,80.3,53.9,85.1
Bihar,BR,Nawada,61.4,8.1,69.5,31.6,17.5,74.1,2858.0,79.9,51.5,79.5
Bihar,BR,Pashchim Champaran,59.8,20.0,55.0,25.4,9.9,57.3,1882.0,79.5,60.6,78.4
Bihar,BR,Patna,69.5,10.2,51.7,17.9,20.7,59.0,2863.0,89.1,51.0,81.4
Bihar,BR,Purba Champaran,58.2,19.4,45.4,21.7,18.4,43.7,2811.0,61.5,43.0,67.4
Bihar,BR,Purnia,53.6,10.2,26.3,11.1,12.7,41.0,4083.0,68.9,55.7,74.2
Bihar,BR,Rohtas,70.5,17.2,64.9,34.2,17.4,85.0,1621.0,89.1,51.7,91.3
Bihar,BR,Saharsa,50.2,12.8,34.8,11.7,12.1,38.5,2273.0,70.4,62.0,72.9
Bihar,BR,Samastipur,60.9,19.0,53.4,23.5,20.8,52.1,2268.0,83.4,71.9,83.7
Bihar,BR,Saran,64.8,9.4,44.4,30.7,14.8,54.1,2903.0,73.0,57.2,79.1
Bihar,BR,Sheikhpura,58.5,9.7,68.8,28.4,24.1,77.1,1842.0,89.2,69.7,91.8
Bihar,BR,Sheohar,56.2,18.1,62.8,25.3,11.3,61.1,2090.0,74.3,63.8,77.0
Bihar,BR,Sitamarhi,59.1,20.7,57.8,20.3,14.3,51.1,2538.0,64.4,49.9,69.6
Bihar,BR,Siwan,70.7,8.2,61.0,30.3,21.1,63.9,4135.0,86.4,65.3,86.9
Bihar,BR,Supaul,50.9,14.2,59.0,30.9,13.2,60.7,1760.0,80.4,73.6,79.4
Bihar,BR,Vaishali,64.5,13.5,46.7,24.5,14.8,57.4,2571.0,81.6,63.1,84.8
Dadra & Nagar Haveli and Daman & Diu,DD,Dadra & Nagar Haveli,70.8,58.8,82.0,90.9,65.1,92.2,502.0,96.3,75.8,98.1
Dadra & Nagar Haveli and Daman & Diu,DD,Daman,83.8,32.9,62.7,70.5,38.4,89.5,1200.0,97.4,60.5,96.9
Dadra & Nagar Haveli and Daman & Diu,DD,Diu,77.8,64.0,85.7,90.7,79.9,93.0,1310.0,95.7,63.9,97.2
Goa,GA,North Goa,89.5,64.8,74.6,91.3,84.8,93.1,3824.0,99.6,58.6,98.6
Goa,GA,South Goa,88.2,67.7,62.7,96.0,92.2,99.5,3768.0,100.0,52.0,100.0
Gujarat,GJ,Ahmedabad,79.8,36.2,73.5,77.8,69.0,90.0,1279.0,94.5,46.7,95.3
Gujarat,GJ,Amreli,69.9,47.7,93.9,92.6,73.8,87.0,1648.0,90.1,45.5,81.2
Gujarat,GJ,Anand,75.2,36.2,74.2,64.2,55.5,90.3,2488.0,96.0,41.2,95.2
Gujarat,GJ,Aravali,68.6,43.9,62.6,73.8,56.0,87.6,3666.0,92.2,34.8,93.0
Gujarat,GJ,Banaskantha,61.1,41.0,68.0,56.1,56.8,86.1,1377.0,92.9,29.1,92.7
Gujarat,GJ,Bharuch,76.7,37.4,63.4,65.7,38.4,78.8,1724.0,91.1,49.6,92.1
Gujarat,GJ,Bhavnagar,72.0,32.2,76.6,70.9,45.2,87.0,1933.0,94.2,44.3,96.0
Gujarat,GJ,Botad,68.9,38.0,82.3,82.7,54.6,85.4,2027.0,93.5,39.2,74.5
Gujarat,GJ,Chhota Udaipur,52.3,40.0,81.9,81.2,59.4,91.1,924.0,85.7,68.8,88.3
Gujarat,GJ,Dahod,59.6,40.3,75.2,70.9,65.0,87.2,1516.0,92.5,68.2,93.2
Gujarat,GJ,Devbhumi Dwarka,59.0,33.5,84.1,76.6,29.1,90.1,1463.0,94.8,37.2,91.7
Gujarat,GJ,Gandhinagar,77.6,29.7,69.5,71.0,38.1,88.2,2445.0,97.8,39.5,89.3
Gujarat,GJ,Gir Somnath,65.8,46.6,79.2,80.7,53.5,90.8,1194.0,87.1,34.0,91.8
Gujarat,GJ,Jamnagar,72.8,38.6,91.7,73.8,52.5,92.4,1150.0,96.5,55.4,96.2
Gujarat,GJ,Junagadh,73.8,47.3,82.0,72.5,39.6,84.1,1272.0,97.4,60.3,97.7
Gujarat,GJ,Kachchh,66.6,34.3,88.8,84.2,74.3,93.9,1793.0,97.4,45.3,97.6
Gujarat,GJ,Kheda,74.0,32.2,64.0,61.2,42.4,85.1,2371.0,95.2,47.5,88.4
Gujarat,GJ,Mahesana,71.3,40.7,59.7,56.6,58.3,79.7,5103.0,97.3,27.4,91.6
Gujarat,GJ,Mahisagar,66.1,46.0,77.2,76.6,63.3,90.9,2087.0,93.0,26.6,92.7
Gujarat,GJ,Morbi,70.5,34.4,89.8,75.1,55.8,89.9,1370.0,94.8,30.1,96.4
Gujarat,GJ,Narmada,66.0,51.1,81.7,83.4,65.1,87.2,753.0,81.7,66.3,84.2
Gujarat,GJ,Navsari,77.9,42.0,93.4,94.7,79.1,98.2,1188.0,99.3,49.6,99.1
Gujarat,GJ,Panchmahal,70.1,34.0,74.0,88.7,64.2,88.0,2680.0,88.4,24.7,84.2
Gujarat,GJ,Patan,64.8,50.2,86.2,79.8,68.1,93.6,783.0,98.6,25.2,97.1
Gujarat,GJ,Porbandar,74.9,42.1,93.5,92.1,56.5,97.6,685.0,100.0,61.2,96.0
Gujarat,GJ,Rajkot,78.4,45.1,94.0,93.5,60.6,98.1,668.0,99.3,40.9,100.0
Gujarat,GJ,Sabarkantha,68.7,49.3,70.1,73.2,52.2,86.9,1828.0,89.4,38.3,83.0
Gujarat,GJ,Surat,82.7,31.6,92.2,93.4,73.1,96.7,2342.0,97.7,41.1,98.8
Gujarat,GJ,Surendranagar,66.0,50.4,84.0,57.5,39.6,78.4,1721.0,85.6,45.4,83.6
Gujarat,GJ,Tapi,66.1,42.3,83.2,91.0,73.6,90.0,846.0,92.9,72.6,85.2
Gujarat,GJ,The Dangs,69.9,44.3,86.4,90.2,78.9,80.1,663.0,74.5,64.2,77.1
Gujarat,GJ,Vadodara,82.0,41.7,80.4,65.9,53.1,90.7,1597.0,95.9,45.7,95.2
Gujarat,GJ,Valsad,79.0,40.6,88.3,92.5,76.5,95.0,958.0,96.5,44.7,98.5
Himachal Pradesh,HP,Bilaspur,81.3,35.4,76.4,81.4,72.4,92.9,3360.0,91.7,72.1,87.6
Himachal Pradesh,HP,Chamba,70.1,26.8,75.1,62.7,65.4,72.9,4252.0,72.0,64.9,74.1
Himachal Pradesh,HP,Hamirpur,86.7,32.0,67.5,59.4,69.9,88.9,4229.0,97.6,75.1,92.4
Himachal Pradesh,HP,Kangra,84.1,36.4,51.5,56.3,63.4,88.7,2087.0,90.2,75.0,87.5
Himachal Pradesh,HP,Kinnaur,73.8,35.9,77.8,75.3,68.7,83.4,3884.0,82.7,76.4,84.1
Himachal Pradesh,HP,Kullu,77.4,26.8,62.1,60.0,61.9,84.6,2919.0,87.0,66.8,88.1
Himachal Pradesh,HP,Lahul and Spiti,65.6,31.2,62.4,65.6,72.7,81.1,3533.0,86.4,75.9,86.7
Himachal Pradesh,HP,Mandi,79.2,41.3,81.2,70.3,68.4,84.2,2859.0,86.6,77.4,86.4
Himachal Pradesh,HP,Shimla,81.6,37.1,83.1,85.3,77.2,91.6,6658.0,92.2,81.9,91.3
Himachal Pradesh,HP,Sirmaur,75.7,26.2,91.0,85.2,76.0,88.7,2586.0,87.4,70.1,88.2
Himachal Pradesh,HP,Solan,82.4,41.9,87.1,88.2,74.6,85.9,5401.0,90.2,68.0,86.8
Himachal Pradesh,HP,Una,86.1,22.6,70.7,71.7,46.5,84.9,4903.0,89.7,52.2,89.9
Jammu and Kashmir,JK,Anantnag,65.5,7.3,82.0,80.9,32.5,85.1,6058.0,90.5,86.7,98.1
Jammu and Kashmir,JK,Badgam,62.5,5.2,83.3,66.5,25.4,88.7,5525.0,96.5,94.3,98.5
Jammu and Kashmir,JK,Bandipore,62.4,9.1,82.9,82.6,21.9,82.6,6399.0,92.8,82.2,93.7
Jammu and Kashmir,JK,Baramula,62.9,6.5,84.0,75.2,22.4,80.1,9853.0,96.2,86.8,97.0
Jammu and Kashmir,JK,Doda,65.1,7.6,86.3,74.3,23.1,71.6,4458.0,73.5,68.9,75.6
Jammu and Kashmir,JK,Ganderbal,60.2,8.3,86.9,80.4,16.3,88.4,6961.0,98.0,95.0,98.6
Jammu and Kashmir,JK,Jammu,84.0,23.3,93.2,95.4,51.4,92.2,4714.0,96.5,88.7,97.0
Jammu and Kashmir,JK,Kathua,77.4,7.0,83.2,31.6,32.6,81.2,5661.0,97.1,93.8,98.5
Jammu and Kashmir,JK,Kishtwar,68.9,16.4,80.3,76.4,34.8,75.7,4410.0,91.6,90.8,94.1
Jammu and Kashmir,JK,Kulgam,64.0,4.2,95.5,92.2,15.8,91.5,3852.0,98.9,94.4,99.6
Jammu and Kashmir,JK,Kupwara,68.7,10.4,83.7,89.2,29.2,90.5,5108.0,97.1,88.7,99.0
Jammu and Kashmir,JK,Pulwama,67.2,9.9,96.6,96.2,33.1,95.0,4299.0,97.8,92.0,98.1
Jammu and Kashmir,JK,Punch,72.1,11.1,80.5,86.4,20.6,81.7,3641.0,86.0,84.2,93.8
Jammu and Kashmir,JK,Rajouri,72.6,16.4,82.5,71.9,17.4,78.7,4199.0,88.8,84.9,94.4
Jammu and Kashmir,JK,Ramban,60.8,9.2,84.6,79.2,12.9,71.3,2683.0,80.4,78.7,91.7
Jammu and Kashmir,JK,Reasi,66.9,11.2,83.4,75.9,32.6,64.7,4046.0,69.3,66.6,73.3
Jammu and Kashmir,JK,Samba,76.6,19.0,86.6,96.2,46.5,92.3,4149.0,97.9,91.3,99.0
Jammu and Kashmir,JK,Shupiyan,71.4,8.4,80.8,86.8,34.4,84.5,5792.0,98.3,94.3,97.5
Jammu and Kashmir,JK,Srinagar,68.2,17.9,95.2,85.1,34.1,90.9,4589.0,99.2,88.7,99.2
Jammu and Kashmir,JK,Udhampur,73.0,16.8,80.1,69.8,19.4,71.2,3412.0,87.2,86.0,91.1
Karnataka,KA,Bagalkot,67.3,22.3,78.2,76.2,32.3,89.0,4576.0,95.2,57.1,91.4
Karnataka,KA,Bangalore,85.7,28.8,75.3,74.6,58.8,88.0,3633.0,99.3,54.7,94.4
Karnataka,KA,Bangalore Rural,74.3,34.9,81.8,90.9,67.0,91.7,4836.0,100.0,72.0,97.9
Karnataka,KA,Belgaum,72.4,20.7,71.2,63.7,36.9,87.0,3902.0,97.5,60.6,96.4
Karnataka,KA,Bellary,64.2,25.7,67.5,56.4,28.7,86.6,12348.0,95.7,76.8,96.0
Karnataka,KA,Bidar,68.2,21.4,62.7,55.3,39.7,89.6,4091.0,99.0,73.4,91.7
Karnataka,KA,Bijapur,66.1,21.2,60.3,56.4,36.6,74.4,3198.0,91.8,59.6,90.0
Karnataka,KA,Chamarajanagar,63.2,34.4,83.2,84.1,41.2,94.2,4270.0,100.0,82.7,96.7
Karnataka,KA,Chikkaballapura,65.9,26.1,82.6,90.5,48.8,91.2,4324.0,99.0,83.0,97.5
Karnataka,KA,Chikmagalur,76.2,30.0,69.5,74.3,49.6,90.9,4544.0,98.4,77.9,98.7
Karnataka,KA,Chitradurga,73.0,35.3,66.3,79.3,50.5,95.2,4234.0,98.3,68.8,95.1
Karnataka,KA,Dakshina Kannada,83.9,36.3,86.1,82.0,68.9,83.5,3699.0,100.0,41.9,91.9
Karnataka,KA,Davanagere,74.9,25.2,63.0,63.1,25.0,78.9,7508.0,98.3,68.9,88.1
Karnataka,KA,Dharwad,78.2,24.5,78.7,85.2,45.1,98.0,3225.0,99.7,69.2,99.0
Karnataka,KA,Gadag,73.3,28.3,52.6,68.7,33.5,84.7,5726.0,96.2,67.5,98.2
Karnataka,KA,Gulbarga,65.0,17.4,59.3,53.6,26.6,79.6,3738.0,88.7,60.5,87.1
Karnataka,KA,Hassan,74.4,36.9,67.6,75.8,50.1,92.6,3421.0,100.0,71.7,97.1
Karnataka,KA,Haveri,72.6,28.8,73.3,58.7,30.5,92.4,11573.0,97.2,82.6,95.8
Karnataka,KA,Kodagu,83.6,45.6,70.6,74.4,46.8,93.3,2830.0,98.4,73.3,94.1
Karnataka,KA,Kolar,71.6,33.9,78.0,90.9,60.2,95.7,3188.0,99.6,76.1,99.3
Karnataka,KA,Koppal,63.9,20.6,52.4,50.7,15.8,80.7,4909.0,90.7,68.2,89.2
Karnataka,KA,Mandya,67.7,39.9,85.6,90.1,54.8,95.5,4109.0,99.5,60.2,97.3
Karnataka,KA,Mysore,72.4,26.2,82.0,85.7,65.2,93.5,4143.0,100.0,56.2,97.8
Karnataka,KA,Raichur,55.3,17.8,66.4,67.5,32.8,76.1,6277.0,88.9,64.4,83.3
Karnataka,KA,Ramanagara,68.8,35.7,91.8,88.7,47.9,87.0,4877.0,100.0,68.8,100.0
Karnataka,KA,Shimoga,78.8,26.5,58.7,79.4,56.6,91.5,5284.0,99.7,74.1,96.5
